# time (ps)       depth (nm)       Te (K)      Tl(K)
  0.1000000000E+00     0.5974842767E+02     0.3115835200E+03     0.3000020237E+03
  0.1000000000E+00     0.6037735849E+02     0.3115322557E+03     0.3000020145E+03
  0.1000000000E+00     0.6100628931E+02     0.3114813370E+03     0.3000020054E+03
  0.1000000000E+00     0.6163522013E+02     0.3114307722E+03     0.3000019963E+03
  0.1000000000E+00     0.6226415094E+02     0.3113805702E+03     0.3000019873E+03
  0.1000000000E+00     0.6289308176E+02     0.3113307396E+03     0.3000019784E+03
  0.1000000000E+00     0.6352201258E+02     0.3112812893E+03     0.3000019695E+03
  0.1000000000E+00     0.6415094340E+02     0.3112322282E+03     0.3000019607E+03
  0.1000000000E+00     0.6477987421E+02     0.3111835656E+03     0.3000019520E+03
  0.1000000000E+00     0.6540880503E+02     0.3111353105E+03     0.3000019433E+03
  0.1000000000E+00     0.6603773585E+02     0.3110874724E+03     0.3000019347E+03
  0.1000000000E+00     0.6666666667E+02     0.3110400609E+03     0.3000019262E+03
  0.1000000000E+00     0.6729559748E+02     0.3109930857E+03     0.3000019178E+03
  0.1000000000E+00     0.6792452830E+02     0.3109465568E+03     0.3000019094E+03
  0.1000000000E+00     0.6855345912E+02     0.3109004844E+03     0.3000019012E+03
  0.1000000000E+00     0.6918238994E+02     0.3108548789E+03     0.3000018930E+03
  0.1000000000E+00     0.6981132075E+02     0.3108097508E+03     0.3000018849E+03
  0.1000000000E+00     0.7044025157E+02     0.3107651111E+03     0.3000018769E+03
  0.1000000000E+00     0.7106918239E+02     0.3107209709E+03     0.3000018690E+03
  0.1000000000E+00     0.7169811321E+02     0.3106773417E+03     0.3000018611E+03
  0.1000000000E+00     0.7232704403E+02     0.3106342352E+03     0.3000018534E+03
  0.1000000000E+00     0.7295597484E+02     0.3105916634E+03     0.3000018457E+03
  0.1000000000E+00     0.7358490566E+02     0.3105496388E+03     0.3000018382E+03
  0.1000000000E+00     0.7421383648E+02     0.3105081740E+03     0.3000018307E+03
  0.1000000000E+00     0.7484276730E+02     0.3104672821E+03     0.3000018234E+03
  0.1000000000E+00     0.7547169811E+02     0.3104269767E+03     0.3000018161E+03
  0.1000000000E+00     0.7610062893E+02     0.3103872715E+03     0.3000018090E+03
  0.1000000000E+00     0.7672955975E+02     0.3103481809E+03     0.3000018020E+03
  0.1000000000E+00     0.7735849057E+02     0.3103097196E+03     0.3000017951E+03
  0.1000000000E+00     0.7798742138E+02     0.3102719028E+03     0.3000017883E+03
  0.1000000000E+00     0.7861635220E+02     0.3102347461E+03     0.3000017816E+03
  0.1000000000E+00     0.7924528302E+02     0.3101982656E+03     0.3000017750E+03
  0.1000000000E+00     0.7987421384E+02     0.3101624780E+03     0.3000017686E+03
  0.1000000000E+00     0.8050314465E+02     0.3101274005E+03     0.3000017623E+03
  0.1000000000E+00     0.8113207547E+02     0.3100930509E+03     0.3000017561E+03
  0.1000000000E+00     0.8176100629E+02     0.3100594474E+03     0.3000017500E+03
  0.1000000000E+00     0.8238993711E+02     0.3100266090E+03     0.3000017441E+03
  0.1000000000E+00     0.8301886792E+02     0.3099945552E+03     0.3000017383E+03
  0.1000000000E+00     0.8364779874E+02     0.3099633063E+03     0.3000017327E+03
  0.1000000000E+00     0.8427672956E+02     0.3099328830E+03     0.3000017272E+03
  0.1000000000E+00     0.8490566038E+02     0.3099033069E+03     0.3000017219E+03
  0.1000000000E+00     0.8553459119E+02     0.3098746004E+03     0.3000017167E+03
  0.1000000000E+00     0.8616352201E+02     0.3098467865E+03     0.3000017117E+03
  0.1000000000E+00     0.8679245283E+02     0.3098198889E+03     0.3000017068E+03
  0.1000000000E+00     0.8742138365E+02     0.3097939324E+03     0.3000017021E+03
  0.1000000000E+00     0.8805031447E+02     0.3097689424E+03     0.3000016976E+03
  0.1000000000E+00     0.8867924528E+02     0.3097449452E+03     0.3000016932E+03
  0.1000000000E+00     0.8930817610E+02     0.3097219680E+03     0.3000016891E+03
  0.1000000000E+00     0.8993710692E+02     0.3097000391E+03     0.3000016851E+03
  0.1000000000E+00     0.9056603774E+02     0.3096791875E+03     0.3000016813E+03
  0.1000000000E+00     0.9119496855E+02     0.3096594434E+03     0.3000016778E+03
  0.1000000000E+00     0.9182389937E+02     0.3096408379E+03     0.3000016744E+03
  0.1000000000E+00     0.9245283019E+02     0.3096234032E+03     0.3000016712E+03
  0.1000000000E+00     0.9308176101E+02     0.3096071728E+03     0.3000016683E+03
  0.1000000000E+00     0.9371069182E+02     0.3095921811E+03     0.3000016656E+03
  0.1000000000E+00     0.9433962264E+02     0.3095784636E+03     0.3000016631E+03
  0.1000000000E+00     0.9496855346E+02     0.3095660575E+03     0.3000016608E+03
  0.1000000000E+00     0.9559748428E+02     0.3095550007E+03     0.3000016588E+03
  0.1000000000E+00     0.9622641509E+02     0.3095453328E+03     0.3000016570E+03
  0.1000000000E+00     0.9685534591E+02     0.3095370946E+03     0.3000016555E+03
  0.1000000000E+00     0.9748427673E+02     0.3095303284E+03     0.3000016543E+03
  0.1000000000E+00     0.9811320755E+02     0.3095250777E+03     0.3000016533E+03
  0.1000000000E+00     0.9874213836E+02     0.3095213879E+03     0.3000016527E+03
  0.1000000000E+00     0.9937106918E+02     0.3095193056E+03     0.3000016523E+03
  0.1000000000E+00     0.1000000000E+03     0.3095188791E+03     0.3000016522E+03

  0.2000000000E+00     0.0000000000E+00     0.7260971441E+03     0.3001260115E+03
  0.2000000000E+00     0.6289308176E+00     0.7260855871E+03     0.3001260074E+03
